"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\assets.py", "Python", 3, 0, 0, 3
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\box.py", "Python", 103, 6, 37, 146
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\button.py", "Python", 165, 7, 53, 225
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\button_group.py", "Python", 2, 0, 0, 2
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\image.py", "Python", 74, 7, 24, 105
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\input_field.py", "Python", 144, 5, 46, 195
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\manager.py", "Python", 64, 3, 17, 84
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\title.py", "Python", 67, 9, 27, 103
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\classes\transition.py", "Python", 36, 0, 17, 53
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\elements\multijoueur_selection_menu.py", "Python", 169, 4, 40, 213
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\elements\start_menu.py", "Python", 161, 1, 27, 189
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\main.py", "Python", 4, 2, 2, 8
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\test.py", "Python", 5, 0, 0, 5
"c:\Users\rapha\OneDrive\Tale\Nsi\Python\Uno\utils.py", "Python", 58, 7, 5, 70
"Total", "-", 1055, 51, 295, 1401
